Дата заключения,Дата расчетов,Время,Наименование,Код,Валюта,Вид,Количество,Цена,Сумма,НКД,Комиссия Брокера,Комиссия Биржи,Номер сделки,Комментарий,Статус
27.12.2021,29.12.2021,18:24:18,VTBEETF,VTBE,RUB,Покупка,11,90.46,995.06,0.00,0.60,0.09,4812193081,,ЗО
23.12.2022,27.12.2022,16:44:05,БПИФбрутто,SBMX,RUB,Покупка,53,11.584,613.95,0.00,0.00,0.19,7099375184,,И
27.04.2023,02.05.2023,12:52:37,БПИФбрутто,SBMX,RUB,Покупка,80,14.389,1151.12,0.00,0.00,0.35,7587448512,,О
27.04.2023,02.05.2023,13:05:22,Сбербанк,SBER,RUB,Покупка,10,238.6,2386.00,0.00,1.43,0.71,7587511423,,О
27.04.2023,02.05.2023,13:05:55,ГАЗПРОМао,GAZP,RUB,Покупка,10,178.95,1789.50,0.00,1.08,0.54,7587514459,,О
27.12.2021,29.12.2021,18:17:51,SBSPETF,SBSP,RUB,Покупка,1,1860,1860.00,0.00,0.00,0.17,4812162403,,О
27.12.2021,29.12.2021,18:17:55,БПИФбрутто,SBMX,RUB,Покупка,50,19.069,953.45,0.00,0.00,0.09,4812162614,,О
27.12.2021,29.12.2021,18:18:25,FXRWETF,FXRW,RUB,Покупка,135,1.3548,182.90,0.00,0.11,0.02,4812164596,,О
27.12.2021,29.12.2021,18:18:56,FXDEETF,FXDE,RUB,Покупка,15,29.505,442.58,0.00,0.26,0.04,4812166907,,О
27.12.2021,29.12.2021,18:19:23,FXDMETF,FXDM,RUB,Покупка,11,78.66,865.26,0.00,0.52,0.08,4812169063,,О
27.12.2021,29.12.2021,18:19:54,FXRLETF,FXRL,RUB,Покупка,20,41.36,827.20,0.00,0.50,0.07,4812173483,,О
27.12.2021,29.12.2021,18:24:18,VTBEETF,VTBE,RUB,Покупка,11,90.46,995.06,0.00,0.60,0.09,4812193081,,О
29.03.2023,31.03.2023,17:53:18,МТС-ао,MTSS,RUB,Покупка,10,257.9,2579.00,0.00,1.55,0.77,7475075046,,ЗО
29.03.2023,30.03.2023,17:56:31,25084,RU000A101FA1,RUB,Покупка,1,98.854,988.54,25.56,0.59,0.10,7475090543,,ЗО
29.03.2023,31.03.2023,17:57:35,БПИФбрутто,SBMX,RUB,Покупка,110,13.46,1480.60,0.00,0.00,0.45,7475093961,,ЗО
26.05.2023,30.05.2023,21:41:21,ГАЗПРОМао,GAZP,RUB,Покупка,10,164.79,1647.90,0.00,0.99,0.49,7690509967,,О
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,ЗО
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,ЗО
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,ЗО
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,ЗО
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,ЗО
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,ЗО
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,ЗО
27.12.2021,29.12.2021,18:17:51,SBSPETF,SBSP,RUB,Покупка,1,1860,1860.00,0.00,0.00,0.17,4812162403,,И
27.12.2021,29.12.2021,18:17:55,БПИФбрутто,SBMX,RUB,Покупка,50,19.069,953.45,0.00,0.00,0.09,4812162614,,И
27.12.2021,29.12.2021,18:18:25,FXRWETF,FXRW,RUB,Покупка,135,1.3548,182.90,0.00,0.11,0.02,4812164596,,И
27.12.2021,29.12.2021,18:18:56,FXDEETF,FXDE,RUB,Покупка,15,29.505,442.58,0.00,0.26,0.04,4812166907,,И
27.12.2021,29.12.2021,18:19:23,FXDMETF,FXDM,RUB,Покупка,11,78.66,865.26,0.00,0.52,0.08,4812169063,,И
27.12.2021,29.12.2021,18:19:54,FXRLETF,FXRL,RUB,Покупка,20,41.36,827.20,0.00,0.50,0.07,4812173483,,И
27.12.2021,29.12.2021,18:24:18,VTBEETF,VTBE,RUB,Покупка,11,90.46,995.06,0.00,0.60,0.09,4812193081,,И
29.03.2023,31.03.2023,17:53:18,МТС-ао,MTSS,RUB,Покупка,10,257.9,2579.00,0.00,1.55,0.77,7475075046,,О
29.03.2023,30.03.2023,17:56:31,25084,RU000A101FA1,RUB,Покупка,1,98.854,988.54,25.56,0.59,0.10,7475090543,,И
29.03.2023,31.03.2023,17:57:35,БПИФбрутто,SBMX,RUB,Покупка,110,13.46,1480.60,0.00,0.00,0.45,7475093961,,О
26.05.2023,30.05.2023,21:41:21,ГАЗПРОМао,GAZP,RUB,Покупка,10,164.79,1647.90,0.00,0.99,0.49,7690509967,,И
30.05.2023,01.06.2023,17:01:45,Магнитао,MGNT,RUB,Покупка,1,4182.5,4182.50,0.00,2.51,1.25,7698304390,,ЗО
29.09.2021,01.10.2021,20:12:25,FXGDETF,FXGD,RUB,Покупка,1,847,847.00,0.00,0.00,0.08,4449577457,,О
29.09.2021,01.10.2021,20:19:21,FXDMETF,FXDM,RUB,Покупка,7,75.4,527.80,0.00,0.00,0.05,4449581409,,О
29.09.2021,01.10.2021,20:22:35,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449582892,,О
29.09.2021,01.10.2021,20:25:50,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584383,,О
29.09.2021,01.10.2021,20:25:54,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584414,,О
29.09.2021,01.10.2021,20:25:56,FXDMETF,FXDM,RUB,Покупка,3,75.4,226.20,0.00,0.00,0.02,4449584428,,О
29.09.2021,01.10.2021,20:25:58,FXDMETF,FXDM,RUB,Покупка,1,75.4,75.40,0.00,0.00,0.02,4449584446,,О
30.09.2021,04.10.2021,10:59:34,SBSPETF,SBSP,RUB,Покупка,1,1696.2,1696.20,0.00,0.00,0.16,4453542268,,ЗО
30.12.2021,04.01.2022,16:22:03,FXGDETF,FXGD,RUB,Продажа,1,906.2,906.20,0.00,0.54,0.09,4829207953,,ЗО
30.12.2021,04.01.2022,16:24:34,FXGDETF,FXGD,RUB,Покупка,1,906.4,906.40,0.00,0.55,0.09,4829216361,,ЗО
30.12.2021,04.01.2022,16:25:48,FXGDETF,FXGD,RUB,Продажа,1,906.4,906.40,0.00,0.54,0.09,4829221233,,ЗО
30.12.2021,04.01.2022,16:27:05,FXGDETF,FXGD,RUB,Продажа,1,906.2,906.20,0.00,0.54,0.09,4829225682,,ЗО
30.12.2021,04.01.2022,16:30:25,FXGDETF,FXGD,RUB,Покупка,2,906.8,1813.60,0.00,1.09,0.17,4829239337,,ЗО
29.03.2023,31.03.2023,17:53:18,МТС-ао,MTSS,RUB,Покупка,10,257.9,2579.00,0.00,1.55,0.77,7475075046,,И
29.03.2023,31.03.2023,17:57:35,БПИФбрутто,SBMX,RUB,Покупка,110,13.46,1480.60,0.00,0.00,0.45,7475093961,,И
30.05.2023,01.06.2023,17:01:45,Магнитао,MGNT,RUB,Покупка,1,4182.5,4182.50,0.00,2.51,1.25,7698304390,,О
